Link of Listing,Home Type,City,Post At,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/1670-E-51st-St-Brooklyn-NY-11234/30764436_zpid/,SINGLE_FAMILY,Brooklyn,Open: Sun. 1:30am-3:30pm,"1670 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,900 ",RE/MAX Edge
https://www.zillow.com/homedetails/360-Hancock-St-Brooklyn-NY-11216/30610534_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 12-1pm,"360 Hancock St, Brooklyn, NY 11216",For Sale by Agent,"$2,999,000 ",SERHANT.
https://www.zillow.com/homedetails/1757-Coleman-St-Brooklyn-NY-11234/30765122_zpid/,SINGLE_FAMILY,Brooklyn,Open: Sun. 1-3pm,"1757 Coleman St, Brooklyn, NY 11234",For Sale by Agent,"$959,000 ",Tracey Real Estate
https://www.zillow.com/homedetails/178-Garfield-Pl-Brooklyn-NY-11215/30583458_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 11am-12:30pm,"178 Garfield Pl, Brooklyn, NY 11215",For Sale by Agent,"$5,995,000 ",Sotheby's International Realty
https://www.zillow.com/homedetails/112-Gain-Ct-Brooklyn-NY-11229/30794238_zpid/,SINGLE_FAMILY,Brooklyn,19 hours ago,"112 Gain Ct, Brooklyn, NY 11229",For Sale by Agent,"$645,000 ",Pullini Realty Corp.
https://www.zillow.com/homedetails/8618-26th-Ave-Brooklyn-NY-11214/30730069_zpid/,MULTI_FAMILY,Brooklyn,1 day on Zillow,"8618 26th Ave, Brooklyn, NY 11214",For Sale by Agent,"$1,520,000 ",Remax Real Estate Professionals
https://www.zillow.com/homedetails/2423-Brigham-St-Brooklyn-NY-11235/30748572_zpid/,MULTI_FAMILY,Brooklyn,20 hours ago,"2423 Brigham St, Brooklyn, NY 11235",For Sale by Agent,"$858,000 ",Remax Edge
https://www.zillow.com/homedetails/3098-Nostrand-Ave-Brooklyn-NY-11229/30727981_zpid/,SINGLE_FAMILY,Brooklyn,21 hours ago,"3098 Nostrand Ave, Brooklyn, NY 11229",For Sale by Agent,"$799,000 ",Momentum Real Estate LLC
https://www.zillow.com/homedetails/342-Thomas-S-Boyland-St-Brooklyn-NY-11233/79714966_zpid/,MULTI_FAMILY,Brooklyn,1 day on Zillow,"342 Thomas S Boyland St, Brooklyn, NY 11233",For Sale by Agent,"$1,249,000 ",Corcoran
https://www.zillow.com/homedetails/1161-E-38th-St-Brooklyn-NY-11210/30760385_zpid/,MULTI_FAMILY,Brooklyn,Open: Thu. 4-6pm,"1161 E 38th St, Brooklyn, NY 11210",For Sale by Agent,"$1,295,000 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/380-Saint-Johns-Pl-8-Brooklyn-NY-11238/2053347725_zpid/,MULTI_FAMILY,Brooklyn,21 hours ago,"380 Saint John's Pl. UNIT 8, Prospect Heights, NY 11238",For Sale by Agent,"$3,800,000 ",EXP Realty
https://www.zillow.com/homedetails/1302-Foster-Ave-Brooklyn-NY-11230/30669766_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 12:30-2pm,"1302 Foster Ave, Brooklyn, NY 11230",For Sale by Agent,"$1,850,000 ",Compass
https://www.zillow.com/homedetails/24-Jerome-St-FLOOR-2-Brooklyn-NY-11207/2053275914_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 2-3pm,"24 Jerome St FLOOR 2, Brooklyn, NY 11207",For Sale by Agent,"$1,188,000 ",My Home Advisors
https://www.zillow.com/homedetails/24-Brighton-3rd-Ln-Brooklyn-NY-11235/245038783_zpid/,SINGLE_FAMILY,Brooklyn,19 hours ago,"24 Brighton 3rd Ln, Brooklyn, NY 11235",For Sale by Agent,"$399,000 ",BHHS Fillmore R.E.
https://www.zillow.com/homedetails/4115-Hubbard-Pl-Brooklyn-NY-11210/30761650_zpid/,MULTI_FAMILY,Brooklyn,20 hours ago,"4115 Hubbard Pl, Brooklyn, NY 11210",For Sale by Agent,"$2,999,000 ",RE/MAX Edge
https://www.zillow.com/homedetails/1885-W-11th-St-Brooklyn-NY-11223/30722664_zpid/,MULTI_FAMILY,Brooklyn,1 hour ago,"1885 W 11th St, Brooklyn, NY 11223",For Sale by Agent,"$1,280,000 ",Robert Defalco Realty
https://www.zillow.com/homedetails/137-Dahlgren-Pl-Brooklyn-NY-11228/30701098_zpid/,SINGLE_FAMILY,Brooklyn,17 hours ago,"137 Dahlgren Pl, Brooklyn, NY 11228",For Sale by Agent,"$989,999 ",Pen Realty LLC
https://www.zillow.com/homedetails/499-E-29th-St-Brooklyn-NY-11210/30669723_zpid/,MULTI_FAMILY,Brooklyn,20 hours ago,"499 E 29th St, Brooklyn, NY 11210",RecentChange,"$729,900 ",BHHS Fillmore R.E.
https://www.zillow.com/homedetails/363-Amboy-St-Brooklyn-NY-11212/30632902_zpid/,MULTI_FAMILY,Brooklyn,21 hours ago,"363 Amboy St, Brooklyn, NY 11212",For Sale by Agent,"$1,395,000 ",Douglas Elliman
