Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/203-12th-St-Brooklyn-NY-11215/30585316_zpid/,SINGLE_FAMILY,Brooklyn,"203 12th St, Brooklyn, NY 11215",For Sale by Agent,"$2,475,000",George L Clark Inc
https://www.zillow.com/homedetails/1757-Coleman-St-Brooklyn-NY-11234/30765122_zpid/,SINGLE_FAMILY,Brooklyn,"1757 Coleman St, Brooklyn, NY 11234",For Sale by Agent,"$959,000",Tracey Real Estate
https://www.zillow.com/homedetails/98-De-Graw-St-Brooklyn-NY-11231/2058111257_zpid/,TOWNHOUSE,Brooklyn,"98 De Graw St, Brooklyn, NY 11231",For Sale by Agent,"$3,995,000",Compass
https://www.zillow.com/homedetails/215-Java-St-Brooklyn-NY-11222/30619963_zpid/,MULTI_FAMILY,Brooklyn,"215 Java Street, Greenpoint, NY 11222",For Sale by Agent,"$1,149,000",Capri Jet Realty Corp
https://www.zillow.com/homedetails/1666-73rd-St-Brooklyn-NY-11204/30705018_zpid/,SINGLE_FAMILY,Brooklyn,"1666 73rd St, Brooklyn, NY 11204",For Sale by Agent,"$825,000",Corcoran
https://www.zillow.com/homedetails/8015-Harbor-View-Ter-Brooklyn-NY-11209/30697210_zpid/,SINGLE_FAMILY,Brooklyn,"8015 Harbor View Terrace, Bay Ridge, NY 11209",For Sale by Agent,"$4,988,988",Douglas Elliman Real Estate
https://www.zillow.com/homedetails/152-Powers-St-Brooklyn-NY-11211/30623509_zpid/,SINGLE_FAMILY,Brooklyn,"152 Powers St, Brooklyn, NY 11211",For Sale by Agent,"$1,525,000",Douglas Elliman
https://www.zillow.com/homedetails/178-Garfield-Pl-Brooklyn-NY-11215/30583458_zpid/,MULTI_FAMILY,Brooklyn,"178 Garfield Pl, Brooklyn, NY 11215",For Sale by Agent,"$5,995,000",Sotheby's International Realty
https://www.zillow.com/homedetails/2232-85th-St-4-Brooklyn-NY-11214/30711531_zpid/,MULTI_FAMILY,Brooklyn,"2232 85th St #4, Brooklyn, NY 11214",For Sale by Agent,"$1,850,000",Exit Realty Today
https://www.zillow.com/homedetails/120-Pierrepont-St-Brooklyn-NY-11201/2054253301_zpid/,MULTI_FAMILY,Brooklyn,"120 Pierrepont Street, Brooklyn Heights, NY 11201",For Sale by Agent,"$3,000,000",EXP Realty
https://www.zillow.com/homedetails/16-Dekoven-Ct-Brooklyn-NY-11230/30669869_zpid/,TOWNHOUSE,Brooklyn,"16 Dekoven Ct, Brooklyn, NY 11230",For Sale by Agent,"$2,099,000",Compass
https://www.zillow.com/homedetails/224-Moffat-St-1-6-Brooklyn-NY-11207/2057129772_zpid/,MULTI_FAMILY,Brooklyn,"224 Moffat St #1-6, Brooklyn, NY 11207",For Sale by Agent,"$879,900",Weichert Properties - NYC
https://www.zillow.com/homedetails/457-Sackett-St-Brooklyn-NY-11231/30572101_zpid/,MULTI_FAMILY,Brooklyn,"457 Sackett St, Brooklyn, NY 11231",For Sale by Agent,"$2,380,000",Remax Real Estate Professionals
